nota1,nota2,nota3,final,media,periodo,coddisciplina,disciplina,matricula,situacao,erro
10.0,9.3,8.0,-1.0,9.1,20121,1108090,Fundamentos de Física Moderna,111110133,A,0.0
6.5,9.0,9.0,-1.0,8.2,20121,1108090,Fundamentos de Física Moderna,110210092,A,0.0333333333333
10.0,9.5,7.0,-1.0,8.8,20121,1108090,Fundamentos de Física Moderna,111110071,A,0.0333333333333
5.0,5.0,8.0,5.0,5.6,20121,1108090,Fundamentos de Física Moderna,112110082,A,
10.0,8.8,4.0,-1.0,7.6,20121,1108090,Fundamentos de Física Moderna,111110076,A,8.881784197e-16
10.0,9.5,9.0,-1.0,9.5,20121,1108090,Fundamentos de Física Moderna,111110092,A,0.0
5.5,5.0,9.0,7.5,6.9,20121,1108090,Fundamentos de Física Moderna,112110046,A,
9.3,9.3,9.0,-1.0,9.2,20121,1108090,Fundamentos de Física Moderna,109210493,A,1.7763568394e-15
5.0,5.0,8.0,6.0,6.0,20121,1108090,Fundamentos de Física Moderna,112110105,A,
5.0,8.8,8.5,-1.0,7.4,20121,1108090,Fundamentos de Física Moderna,111210073,A,0.0333333333333
8.0,8.0,9.0,-1.0,8.3,20121,1108090,Fundamentos de Física Moderna,111110130,A,0.0333333333333
7.5,5.0,9.0,-1.0,7.2,20121,1108090,Fundamentos de Física Moderna,110110095,A,0.0333333333333
7.0,8.3,8.0,-1.0,7.8,20121,1108090,Fundamentos de Física Moderna,110210072,A,0.0333333333333
9.0,10.0,10.0,-1.0,9.7,20122,1108090,Fundamentos de Física Moderna,109110095,A,0.0333333333333
9.0,10.0,9.0,-1.0,9.3,20122,1108090,Fundamentos de Física Moderna,110210388,A,0.0333333333333
8.0,9.0,9.0,-1.0,8.7,20122,1108090,Fundamentos de Física Moderna,111110938,A,0.0333333333333
8.0,9.0,9.0,-1.0,8.7,20122,1108090,Fundamentos de Física Moderna,111210061,A,0.0333333333333
9.0,10.0,9.0,-1.0,9.3,20122,1108090,Fundamentos de Física Moderna,110210114,A,0.0333333333333
