matricula,Projeto em Computação II,Álgebra Linear,Álgebra Vetorial e Geometria Analítica,Análise e Técnicas de Algoritmos,Avaliação de Desempenho de Sistemas Discretos,Banco de Dados I,Banco de Dados II,Cálculo Diferencial e Integral I,Cálculo Diferencial e Integral II,Compiladores,Direito e Cidadania,Engenharia de Software I,Estruturas de Dados e Algoritmos,Fundamentos de Física Clássica,Fundamentos de Física Moderna,Gerência da Informação,Informática e Sociedade,Inteligência Artificial I,Interconexão de Redes de Computadores,Introdução à Computação,Lab. de Engenharia de Software,Lab. de Estruturas de Dados e Algoritmos,Lab. de Interconexão de Redes de Computadores,Lab. de Organização e Arquitetura de Computadores,Lab. de Programação I,Lab. de Programação II,Leitura e Produção de Textos,Lógica Matemática,Matemática Discreta,Metodologia Científica,Métodos e Software Numéricos,Métodos Estatísticos,Organização e Arquitetura de Computadores,Paradigmas de Linguagem de Programação,Probabilidade e Estatística,Programação I,Programação II,Projeto em Computação I,Redes de Computadores,Sistemas de Informação I,Sistemas de Informação II,Sistemas Operacionais,Teoria da Computação,Teoria dos Grafos,
107210032,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,9.0,NA,NA,NA,7.3,NA,NA,
107210012,NA,NA,NA,NA,7.5,NA,6.4,NA,NA,6.0,NA,NA,NA,NA,NA,NA,NA,8.1,6.1,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA,
107210011,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,7.9,NA,NA,
108110024,NA,NA,NA,NA,9.5,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,9.2,7.6,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,8.0,NA,NA,NA,NA,NA,NA,10.0,NA,NA,NA,NA,NA,NA,
109210282,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,7.2,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,
108110021,NA,NA,NA,NA,9.3,NA,NA,NA,NA,7.3,9.8,NA,NA,NA,NA,NA,NA,8.0,7.0,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,9.0,NA,NA,NA,NA,NA,NA,
105210160,NA,NA,NA,NA,7.6,NA,5.3,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,5.7,5.3,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,8.5,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,
109210015,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0,7.0,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,9.9,NA,NA,NA,NA,NA,NA,
108110007,NA,NA,NA,9.2,9.4,NA,8.5,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,9.2,7.9,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,9.0,NA,NA,NA,NA,NA,NA,9.9,NA,NA,NA,8.0,NA,NA,
108110005,NA,NA,NA,NA,7.6,NA,NA,NA,NA,8.1,9.8,NA,NA,NA,NA,NA,NA,7.9,8.2,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,8.0,NA,NA,NA,NA,NA,NA,9.0,NA,NA,NA,NA,NA,NA,
108110002,NA,NA,NA,NA,9.6,NA,NA,NA,NA,7.4,10.0,NA,NA,NA,NA,NA,NA,8.7,7.0,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,9.9,NA,NA,NA,NA,NA,NA,
111110914,NA,NA,NA,NA,5.0,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,
105110107,NA,NA,NA,NA,7.5,NA,5.0,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,9.3,7.0,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,7.0,NA,NA,NA,NA,NA,
106210151,NA,NA,NA,NA,7.0,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,7.5,6.1,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,7.0,NA,NA,NA,NA,NA,8.3,5.8,NA,NA,NA,NA,NA,
111110923,NA,NA,NA,7.5,NA,7.0,7.5,NA,NA,NA,9.8,7.2,NA,NA,NA,NA,8.3,NA,NA,NA,8.1,NA,NA,7.6,NA,NA,NA,7.0,NA,8.4,7.9,7.7,7.0,7.6,5.4,NA,NA,NA,6.6,NA,5.4,7.0,5.8,NA,
111110124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,8.0,NA,NA,NA,NA,NA,NA,NA,7.0,4.5,NA,NA,2.4,NA,NA,NA,NA,NA,0.5,7.0,4.4,NA,NA,7.0,NA,NA,4.4,5.0,
110110848,NA,6.7,NA,7.6,NA,6.4,5.0,NA,NA,2.2,NA,6.8,7.0,NA,NA,7.7,NA,7.8,NA,NA,NA,5.0,NA,5.0,NA,NA,NA,5.8,NA,NA,NA,8.6,6.6,7.0,5.2,NA,NA,NA,7.7,8.4,5.2,7.0,7.6,NA,
110110108,NA,7.2,NA,NA,NA,7.0,NA,NA,NA,NA,NA,0.5,7.0,NA,NA,7.9,NA,NA,NA,NA,NA,7.7,NA,8.0,NA,NA,NA,0.0,NA,NA,NA,5.4,7.5,NA,6.8,NA,NA,NA,NA,9.0,NA,NA,7.3,NA,
107210223,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,NA,NA,NA,5.1,NA,NA,NA,NA,7.1,5.6,1.6,NA,NA,NA,5.5,NA,6.3,NA,5.5,NA,
110110049,NA,7.3,NA,7.7,NA,7.2,NA,NA,NA,NA,8.7,8.3,6.3,NA,NA,7.0,8.8,NA,NA,NA,7.9,7.5,NA,7.0,NA,NA,NA,7.9,NA,NA,NA,7.8,6.2,7.8,7.0,NA,NA,NA,7.2,8.5,7.0,NA,7.3,NA,
108210207,NA,5.6,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,7.0,NA,NA,NA,NA,7.0,7.3,0.5,NA,NA,NA,6.0,NA,5.7,NA,7.0,NA,
110110065,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,7.1,NA,NA,7.5,NA,NA,NA,NA,NA,7.4,NA,2.8,NA,NA,NA,2.4,8.1,NA,NA,NA,7.3,NA,7.0,NA,NA,NA,NA,8.8,NA,NA,8.0,NA,
110110044,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,9.3,5.0,5.0,NA,NA,5.0,8.0,NA,NA,NA,3.5,5.0,NA,9.2,NA,NA,NA,2.0,8.4,NA,NA,1.6,5.2,5.0,5.2,NA,NA,NA,NA,5.1,NA,NA,6.3,NA,
109110118,NA,NA,NA,7.8,NA,5.5,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,8.8,7.1,7.4,NA,9.6,NA,7.4,7.5,NA,NA,NA,NA,NA,7.9,8.8,6.6,7.1,NA,NA,NA,NA,8.3,7.3,9.2,3.7,7.4,NA,NA,
110110047,NA,7.0,NA,9.5,NA,NA,NA,NA,NA,8.8,NA,9.3,8.7,NA,NA,8.0,NA,NA,NA,NA,8.6,9.2,NA,9.9,NA,8.7,NA,9.2,9.0,NA,NA,8.4,8.4,9.5,8.2,NA,9.4,NA,NA,NA,NA,NA,9.3,10.0,
110110043,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,8.2,NA,NA,NA,NA,NA,5.0,NA,2.6,NA,NA,NA,4.2,NA,NA,NA,NA,5.1,NA,5.8,NA,NA,NA,NA,7.9,NA,NA,5.3,NA,
109210285,NA,NA,NA,8.7,NA,5.0,NA,NA,NA,7.3,NA,8.7,NA,NA,NA,NA,9.0,NA,7.4,NA,8.4,NA,7.4,8.3,NA,NA,NA,7.5,NA,7.5,NA,7.2,7.5,7.2,5.1,NA,NA,NA,7.2,8.3,7.3,7.8,7.5,NA,
109110079,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,5.1,NA,NA,NA,NA,7.1,7.0,7.0,NA,NA,NA,NA,NA,3.7,NA,5.0,NA,
111110088,NA,NA,NA,7.4,NA,NA,5.3,NA,NA,5.4,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,7.4,NA,NA,NA,NA,NA,7.0,NA,7.3,5.3,NA,6.1,NA,NA,NA,5.6,NA,5.4,NA,NA,NA,
110110127,NA,7.5,NA,7.1,NA,6.7,7.2,NA,NA,NA,8.3,8.3,7.1,NA,NA,5.2,8.8,NA,7.0,NA,8.9,8.0,7.0,8.3,NA,NA,NA,7.0,NA,NA,NA,3.9,7.4,7.0,5.2,NA,NA,NA,7.5,7.9,7.0,7.0,7.6,NA,
109110056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,0.0,NA,
110110088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,0.0,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,
109210060,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,8.4,NA,NA,8.8,NA,NA,NA,8.5,NA,NA,NA,8.7,8.7,8.2,6.2,NA,NA,NA,7.9,8.4,7.7,NA,8.1,NA,
111110112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,7.2,NA,NA,2.2,NA,
111110086,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,9.8,8.0,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,8.8,NA,NA,NA,5.0,NA,6.9,NA,5.3,7.2,6.4,5.6,NA,NA,NA,NA,NA,2.6,NA,5.0,NA,
109210063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,3.5,NA,NA,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,5.5,NA,
109110074,NA,NA,NA,5.6,NA,7.0,5.0,NA,NA,NA,NA,7.9,NA,NA,NA,NA,7.3,NA,NA,NA,7.0,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,8.4,5.4,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,
109210043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,NA,NA,0.0,NA,
108110496,NA,NA,NA,2.6,NA,5.9,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA,3.4,NA,NA,NA,NA,NA,5.3,NA,NA,NA,
110110081,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,8.0,NA,NA,7.0,NA,NA,NA,NA,NA,9.4,NA,9.6,NA,NA,NA,8.6,NA,NA,NA,8.1,8.1,7.9,7.6,NA,NA,NA,7.6,9.0,7.0,7.7,9.2,NA,
109210049,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,3.7,NA,NA,NA,5.7,NA,NA,NA,NA,5.0,7.1,2.7,NA,NA,NA,NA,6.4,5.2,NA,5.0,NA,
110110085,NA,7.0,NA,8.8,NA,5.0,NA,NA,NA,NA,7.0,7.0,7.0,NA,NA,7.5,8.3,NA,NA,NA,7.2,8.5,NA,7.7,NA,NA,NA,6.7,NA,7.0,NA,5.8,7.0,7.8,5.4,NA,NA,NA,NA,8.5,6.0,NA,7.3,NA,
110110087,NA,NA,NA,7.2,NA,5.9,NA,NA,NA,NA,NA,6.6,5.6,NA,NA,NA,9.4,NA,NA,NA,7.2,5.4,NA,8.7,NA,5.0,NA,7.6,7.0,NA,NA,7.5,6.3,7.6,5.0,NA,7.5,NA,5.5,6.2,7.3,NA,7.0,7.3,
110110132,NA,8.9,NA,9.5,NA,7.4,NA,NA,NA,NA,7.0,8.1,9.0,NA,NA,7.6,8.3,NA,NA,NA,7.1,8.9,NA,9.7,NA,NA,NA,7.1,NA,7.0,NA,5.8,7.0,7.1,7.8,NA,NA,NA,NA,8.3,6.3,NA,7.6,NA,
110110857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,8.0,NA,NA,NA,NA,5.1,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,4.5,7.2,7.1,NA,NA,NA,NA,8.0,NA,NA,5.0,NA,
109110805,NA,NA,NA,5.5,NA,7.0,5.8,NA,NA,NA,NA,7.7,NA,NA,NA,NA,7.5,NA,NA,NA,7.0,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,8.1,4.6,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,
110110074,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,8.9,NA,NA,NA,NA,NA,9.8,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,8.6,NA,NA,NA,NA,9.7,NA,NA,8.9,NA,
110110076,NA,5.8,NA,8.3,NA,9.1,NA,NA,NA,NA,NA,5.6,7.0,NA,NA,7.6,NA,NA,NA,NA,9.4,9.0,NA,9.2,NA,NA,NA,7.0,NA,NA,NA,6.0,7.3,9.3,6.4,NA,NA,NA,NA,9.7,NA,NA,7.4,NA,
110110114,NA,5.4,NA,7.6,NA,5.9,NA,NA,NA,6.1,NA,7.4,8.0,NA,NA,5.3,NA,NA,NA,NA,8.9,7.6,NA,7.4,NA,NA,NA,7.2,NA,NA,NA,7.1,7.4,7.0,7.0,NA,NA,NA,6.4,8.4,7.0,NA,6.6,NA,
108210019,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,9.8,7.1,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,7.0,NA,NA,NA,4.3,NA,NA,NA,5.9,5.3,6.3,6.2,NA,NA,NA,2.5,NA,5.0,NA,7.1,NA,
110110058,NA,7.0,NA,NA,NA,9.3,NA,NA,NA,NA,8.5,7.7,8.1,NA,NA,8.5,NA,NA,NA,NA,9.4,8.8,NA,8.6,NA,NA,NA,8.6,NA,NA,NA,8.5,7.4,9.0,8.1,NA,NA,NA,NA,9.7,NA,NA,8.2,NA,
110110073,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,7.0,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,7.0,NA,8.2,NA,7.0,7.9,NA,NA,8.6,7.4,NA,3.1,NA,8.2,NA,NA,8.9,7.6,NA,8.8,10.0,
110110078,NA,8.2,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA,NA,7.3,9.8,NA,NA,NA,NA,7.2,NA,10.0,NA,NA,NA,9.1,NA,NA,NA,6.2,7.5,NA,6.6,NA,NA,NA,NA,7.9,7.0,NA,7.4,NA,
110110079,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,0.0,8.5,
110110117,NA,7.0,NA,7.1,NA,7.3,NA,NA,NA,NA,9.0,8.2,8.0,NA,NA,7.0,8.8,NA,NA,NA,8.0,7.1,NA,7.0,NA,NA,NA,8.6,NA,NA,NA,8.2,7.0,NA,7.0,NA,NA,NA,7.0,8.3,7.0,NA,7.3,NA,
110110116,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,9.7,NA,NA,7.4,NA,NA,NA,NA,9.0,9.1,NA,7.7,NA,NA,NA,7.8,NA,NA,NA,5.0,7.6,7.5,7.0,NA,NA,NA,NA,NA,NA,NA,9.6,NA,
109210030,NA,NA,NA,8.2,NA,7.0,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,8.7,NA,NA,NA,7.2,NA,NA,NA,7.4,8.4,8.4,5.4,NA,NA,NA,NA,8.9,5.6,NA,8.0,NA,
109210019,NA,NA,NA,8.7,NA,6.9,NA,NA,NA,7.5,NA,8.6,NA,NA,NA,NA,8.8,8.0,7.5,NA,8.4,NA,7.5,9.5,NA,NA,NA,6.1,NA,7.9,NA,7.1,7.5,7.0,5.0,NA,NA,NA,8.9,9.0,7.1,8.3,5.4,NA,
109210036,NA,5.6,NA,7.9,NA,6.5,NA,NA,NA,8.3,9.8,9.2,NA,NA,NA,NA,8.8,NA,7.1,NA,8.2,NA,7.1,8.1,NA,NA,NA,8.1,NA,8.2,NA,7.1,7.0,7.5,5.9,NA,NA,8.9,8.0,8.9,6.6,8.0,6.0,NA,
110110110,NA,9.3,NA,NA,NA,7.8,NA,NA,NA,NA,9.5,8.5,9.9,NA,NA,8.8,8.3,8.6,NA,NA,9.3,9.9,NA,9.6,NA,NA,NA,9.0,NA,8.0,NA,8.8,8.4,9.1,8.9,NA,NA,NA,NA,9.7,7.5,8.1,9.1,NA,
111110079,NA,NA,NA,7.2,NA,7.9,7.6,NA,NA,NA,9.8,7.3,NA,NA,NA,NA,9.3,NA,NA,NA,7.8,NA,NA,3.6,NA,NA,NA,7.3,NA,7.3,NA,6.5,5.9,2.5,6.9,NA,NA,NA,8.6,7.7,5.7,7.8,5.0,NA,
110110096,NA,5.1,NA,NA,NA,5.0,NA,NA,NA,NA,NA,7.0,7.6,NA,NA,8.7,9.3,NA,NA,NA,NA,7.3,NA,2.8,NA,NA,NA,7.9,NA,NA,NA,NA,6.9,5.9,7.4,NA,NA,NA,NA,9.1,5.2,NA,8.1,NA,
109110063,NA,NA,NA,7.9,8.7,8.0,8.0,NA,NA,8.4,9.0,8.8,NA,NA,NA,NA,NA,NA,8.1,NA,9.0,NA,8.1,9.1,NA,NA,NA,9.4,NA,6.9,9.2,7.8,7.4,8.5,8.0,NA,NA,8.9,8.6,9.5,7.3,NA,NA,NA,
110110125,NA,9.0,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,8.2,NA,NA,9.1,NA,NA,NA,NA,NA,9.6,NA,9.6,NA,NA,NA,9.5,NA,8.7,NA,NA,9.7,NA,8.6,NA,NA,NA,NA,9.7,NA,9.8,9.6,NA,
109210011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,9.0,NA,NA,NA,NA,NA,NA,7.0,NA,NA,NA,5.7,NA,NA,NA,NA,7.1,8.3,5.5,NA,NA,NA,NA,8.0,NA,NA,5.0,NA,
109210057,NA,NA,NA,5.7,NA,4.2,NA,NA,NA,NA,NA,7.4,5.0,NA,NA,NA,NA,NA,NA,NA,NA,5.0,NA,7.0,NA,NA,NA,5.0,NA,NA,NA,1.2,5.0,7.3,5.0,NA,NA,NA,4.3,6.4,5.1,NA,5.0,NA,
109210059,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,5.0,NA,NA,NA,NA,NA,5.0,NA,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,NA,NA,NA,NA,7.9,NA,NA,6.5,NA,
111110109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,7.2,NA,
109110808,NA,NA,NA,8.0,5.0,8.7,7.0,NA,NA,6.3,NA,8.1,NA,NA,NA,NA,8.3,NA,7.1,NA,7.6,NA,7.1,9.6,NA,NA,NA,NA,NA,8.1,7.4,6.0,7.2,NA,NA,NA,NA,7.1,7.2,NA,6.1,7.4,NA,NA,
107210224,NA,NA,NA,7.0,NA,NA,6.8,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,5.0,4.6,NA,3.6,NA,NA,NA,NA,NA,5.4,NA,NA,NA,
110110121,NA,8.2,NA,8.6,NA,8.2,7.7,NA,NA,NA,8.3,8.9,7.1,NA,NA,7.9,8.8,NA,7.6,NA,8.9,8.6,7.6,8.0,NA,NA,NA,7.3,NA,NA,NA,8.4,7.7,8.3,5.8,NA,NA,NA,7.7,8.1,8.0,7.8,7.0,NA,
110110094,NA,7.6,NA,8.5,NA,6.7,NA,NA,NA,NA,NA,8.9,8.2,NA,NA,7.6,NA,NA,7.0,NA,8.9,7.2,7.0,8.1,NA,NA,NA,8.7,NA,8.9,NA,9.0,8.4,7.8,6.9,NA,NA,NA,7.5,9.2,7.4,7.7,7.0,NA,
110110066,NA,5.0,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,6.0,NA,
109110095,NA,NA,NA,7.7,NA,2.6,3.4,NA,6.1,NA,9.7,NA,NA,NA,9.7,NA,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,7.8,0.0,NA,NA,NA,NA,NA,5.0,NA,7.0,NA,
111110929,NA,5.7,7.2,NA,NA,NA,NA,6.1,5.3,NA,8.8,NA,6.4,5.3,NA,6.4,9.0,NA,NA,8.0,NA,7.0,NA,9.6,7.0,6.1,NA,NA,7.1,NA,NA,NA,7.3,NA,3.6,7.0,5.2,NA,NA,8.9,NA,NA,5.0,7.3,
112150440,NA,NA,NA,5.6,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,5.1,NA,NA,NA,NA,5.4,7.4,3.1,NA,NA,NA,NA,NA,5.2,NA,NA,NA,
111110921,NA,NA,7.9,NA,NA,NA,NA,7.5,8.3,NA,NA,NA,8.8,8.0,NA,7.6,9.3,NA,NA,9.1,NA,8.3,NA,NA,8.5,8.4,NA,NA,9.2,NA,NA,NA,NA,NA,NA,8.4,9.2,NA,NA,NA,NA,NA,NA,8.3,
111110925,NA,NA,8.9,NA,NA,NA,NA,7.1,7.0,NA,NA,NA,7.7,7.0,NA,7.4,NA,NA,NA,9.3,NA,7.7,NA,NA,7.9,7.0,NA,NA,8.0,NA,NA,NA,NA,NA,NA,8.0,8.2,NA,NA,NA,NA,NA,NA,7.8,
111110907,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,5.5,NA,5.4,NA,NA,NA,7.8,NA,NA,NA,NA,7.2,3.8,NA,NA,3.8,NA,NA,NA,NA,NA,NA,7.0,7.0,NA,NA,7.7,NA,NA,NA,8.0,
111110126,NA,5.3,8.3,NA,NA,NA,NA,7.1,7.0,NA,NA,NA,7.5,6.4,NA,7.0,NA,NA,NA,9.2,NA,7.2,NA,2.7,9.4,7.6,NA,NA,8.0,NA,NA,NA,5.2,8.8,0.0,9.4,8.3,NA,NA,2.8,NA,NA,6.8,9.5,
111110128,NA,7.7,8.6,NA,NA,NA,NA,7.3,7.0,NA,NA,7.7,8.0,7.2,NA,7.0,NA,NA,NA,8.9,NA,8.5,NA,NA,9.3,7.0,7.8,8.1,7.6,NA,NA,8.7,NA,8.8,7.3,9.3,9.0,NA,NA,NA,NA,NA,6.8,9.8,
111110100,NA,NA,7.7,NA,NA,NA,NA,5.0,0.2,NA,NA,NA,7.4,5.1,NA,7.8,NA,NA,NA,7.7,NA,7.0,NA,NA,7.7,7.6,NA,NA,7.3,NA,NA,NA,NA,NA,3.9,7.9,7.7,NA,NA,NA,NA,NA,3.3,7.5,
111110103,NA,8.1,7.5,NA,NA,NA,NA,6.3,7.0,NA,NA,NA,8.3,7.5,NA,8.4,NA,NA,NA,8.6,NA,8.0,NA,9.5,9.0,8.1,8.8,7.6,6.7,NA,NA,NA,7.9,NA,8.3,9.1,8.9,NA,NA,8.5,NA,NA,8.3,9.7,
111110060,NA,4.4,9.4,NA,NA,NA,NA,8.0,5.4,NA,10.0,NA,7.0,7.5,NA,5.0,8.8,NA,NA,8.6,NA,5.5,NA,7.2,7.9,5.3,NA,7.5,7.2,NA,NA,NA,7.0,7.0,5.0,8.0,6.3,NA,NA,5.1,NA,NA,7.0,7.8,
110150169,NA,0.5,7.1,NA,NA,NA,NA,5.0,5.0,NA,8.3,NA,5.5,5.2,NA,7.0,9.0,NA,NA,NA,NA,7.0,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,0.5,NA,NA,NA,NA,7.9,NA,NA,6.6,7.7,
109210009,NA,NA,NA,NA,NA,5.2,NA,NA,5.0,NA,8.5,NA,5.4,NA,NA,NA,9.8,NA,NA,NA,NA,5.0,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,7.0,0.0,NA,NA,NA,NA,7.0,6.0,NA,6.1,NA,
110110129,NA,5.1,NA,7.4,NA,5.0,5.5,NA,5.5,NA,9.7,NA,5.0,6.2,NA,7.0,8.5,NA,NA,NA,NA,8.3,NA,7.5,NA,NA,NA,7.0,NA,NA,NA,NA,7.0,7.5,3.2,NA,NA,NA,NA,7.5,6.0,NA,8.2,NA,
111110083,NA,7.4,9.7,NA,NA,NA,NA,8.9,8.7,NA,NA,8.4,8.0,5.7,NA,6.9,NA,NA,NA,8.8,NA,8.6,NA,9.5,9.1,8.0,NA,8.8,7.9,NA,NA,9.6,8.0,7.0,7.8,9.1,9.2,NA,NA,8.3,NA,NA,8.5,9.8,
111110912,NA,5.1,7.7,NA,NA,NA,NA,6.1,5.1,NA,NA,NA,7.0,5.6,NA,5.1,NA,NA,NA,8.8,NA,7.6,NA,9.3,8.7,6.8,NA,7.2,7.0,NA,NA,NA,5.4,7.0,5.0,8.6,7.8,NA,NA,7.3,NA,NA,8.0,9.0,
