"disciplina" "matricula" "competencia"
"Algebra Vetorial e Geometria Analitica" "112110912" "40"
"Algebra Vetorial e Geometria Analitica" "112110924" "40"
"Algebra Vetorial e Geometria Analitica" "112110955" "50"
"Algebra Vetorial e Geometria Analitica" "112110958" "40"
"Algebra Vetorial e Geometria Analitica" "109210001" "80"
"Algebra Vetorial e Geometria Analitica" "109210018" "70"
"Algebra Vetorial e Geometria Analitica" "109210026" "80"
"Algebra Vetorial e Geometria Analitica" "109210474" "10"
"Algebra Vetorial e Geometria Analitica" "110110048" "90"
"Algebra Vetorial e Geometria Analitica" "110110063" "40"
"Algebra Vetorial e Geometria Analitica" "110110098" "40"
"Algebra Vetorial e Geometria Analitica" "110110107" "50"
"Algebra Vetorial e Geometria Analitica" "110210049" "60"
"Algebra Vetorial e Geometria Analitica" "110210055" "100"
"Algebra Vetorial e Geometria Analitica" "110210069" "90"
"Algebra Vetorial e Geometria Analitica" "110210081" "70"
"Algebra Vetorial e Geometria Analitica" "110210096" "80"
"Algebra Vetorial e Geometria Analitica" "110210099" "70"
"Algebra Vetorial e Geometria Analitica" "110210103" "80"
"Algebra Vetorial e Geometria Analitica" "110210104" "70"
"Algebra Vetorial e Geometria Analitica" "110210108" "70"
"Algebra Vetorial e Geometria Analitica" "110210109" "70"
"Algebra Vetorial e Geometria Analitica" "110210111" "50"
"Algebra Vetorial e Geometria Analitica" "110210113" "40"
"Algebra Vetorial e Geometria Analitica" "110210115" "90"
"Algebra Vetorial e Geometria Analitica" "110210124" "80"
"Algebra Vetorial e Geometria Analitica" "110210381" "40"
"Algebra Vetorial e Geometria Analitica" "110210382" "90"
"Algebra Vetorial e Geometria Analitica" "110210384" "80"
"Algebra Vetorial e Geometria Analitica" "110210385" "60"
"Algebra Vetorial e Geometria Analitica" "110210387" "80"
"Algebra Vetorial e Geometria Analitica" "110210393" "100"
"Algebra Vetorial e Geometria Analitica" "110210396" "100"
"Algebra Vetorial e Geometria Analitica" "110210495" "100"
"Algebra Vetorial e Geometria Analitica" "110210557" "90"
"Algebra Vetorial e Geometria Analitica" "110210558" "80"
"Algebra Vetorial e Geometria Analitica" "110210559" "40"
"Algebra Vetorial e Geometria Analitica" "110210613" "50"
"Algebra Vetorial e Geometria Analitica" "110210614" "20"
"Algebra Vetorial e Geometria Analitica" "110210639" "50"
"Algebra Vetorial e Geometria Analitica" "111110063" "50"
"Algebra Vetorial e Geometria Analitica" "111110066" "90"
"Algebra Vetorial e Geometria Analitica" "111110070" "80"
"Algebra Vetorial e Geometria Analitica" "111110087" "100"
"Algebra Vetorial e Geometria Analitica" "111110100" "20"
"Algebra Vetorial e Geometria Analitica" "111110113" "100"
"Algebra Vetorial e Geometria Analitica" "111110116" "70"
"Algebra Vetorial e Geometria Analitica" "111110120" "50"
"Algebra Vetorial e Geometria Analitica" "111110129" "100"
"Algebra Vetorial e Geometria Analitica" "111110130" "20"
"Algebra Vetorial e Geometria Analitica" "111110895" "20"
"Algebra Vetorial e Geometria Analitica" "111110901" "100"
"Algebra Vetorial e Geometria Analitica" "111110904" "70"
"Algebra Vetorial e Geometria Analitica" "111110915" "80"
"Algebra Vetorial e Geometria Analitica" "111110919" "50"
"Algebra Vetorial e Geometria Analitica" "111110921" "20"
"Algebra Vetorial e Geometria Analitica" "111110925" "0"
"Algebra Vetorial e Geometria Analitica" "111110926" "80"
"Algebra Vetorial e Geometria Analitica" "111110933" "60"
"Algebra Vetorial e Geometria Analitica" "111110935" "100"
"Algebra Vetorial e Geometria Analitica" "111110938" "20"
"Algebra Vetorial e Geometria Analitica" "111110940" "80"
"Algebra Vetorial e Geometria Analitica" "111110941" "60"
"Algebra Vetorial e Geometria Analitica" "111150279" "100"
"Algebra Vetorial e Geometria Analitica" "111150280" "80"
"Algebra Vetorial e Geometria Analitica" "111150282" "30"
"Algebra Vetorial e Geometria Analitica" "111150285" "70"
"Algebra Vetorial e Geometria Analitica" "111150494" "70"
"Algebra Vetorial e Geometria Analitica" "111210049" "70"
"Algebra Vetorial e Geometria Analitica" "111210050" "20"
"Algebra Vetorial e Geometria Analitica" "111210055" "70"
