nota1,nota2,nota3:nota4,nota5,nota6,nota7,nota8,media,final,disciplina,departamento,matricula
6.0,8.2,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.7,-1.0,tecc(sistemas de recup da informacao),dme,106210151
4.8,9.2,8.8,-1.0,-1.0,-1.0,-1.0,-1.0,7.6,-1.0,inteligencia artificial i,dme,106210157
2.0,4.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,3.0,metodos estatisticos,dme,106210157
8.2,7.8,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.3,-1.0,metodos estatisticos,dme,106210157
9.0,9.0,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,8.5,-1.0,projeto em computacao ii,dme,106210157
8.5,8.0,8.7,-1.0,-1.0,-1.0,-1.0,-1.0,8.4,-1.0,redes neurais,dme,106210157
7.5,8.0,7.7,-1.0,-1.0,-1.0,-1.0,-1.0,7.7,-1.0,tecc(empreendedorismo em software),dme,106210157
6.6,8.5,4.3,5.5,-1.0,-1.0,-1.0,-1.0,5.7,5.0,tecc(fundamentos de prog concorrente),dme,106210157
5.7,8.8,7.3,-1.0,-1.0,-1.0,-1.0,-1.0,7.3,-1.0,tecc(seguranca em redes de computadores),dme,106210157
8.7,9.3,8.0,9.5,-1.0,-1.0,-1.0,-1.0,8.9,-1.0,aval.de desempenho de sistemas discretos,dme,106210158
8.5,4.2,8.8,-1.0,-1.0,-1.0,-1.0,-1.0,7.2,-1.0,inteligencia artificial i,dme,106210158
3.6,8.7,8.6,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,interconex?o de redes de computadores,dme,106210158
3.6,8.7,8.6,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,lab.de intercon.de redes de computadores,dme,106210158
8.0,7.7,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.2,-1.0,metodos estatisticos,dme,106210158
8.0,8.0,8.5,9.0,8.0,9.0,-1.0,-1.0,8.5,-1.0,projeto em computacao i,dme,106210158
8.0,9.0,9.0,7.2,8.4,9.0,-1.0,-1.0,8.4,-1.0,projeto em computacao ii,dme,106210158
8.2,3.5,5.1,-1.0,-1.0,-1.0,-1.0,-1.0,7.3,9.8,redes de computadores,dme,106210158
