CODIGO,DISCIPLINA,PERMAISFREQ1ST,FREQRELATIVA1ST,PERMAISFREQ2ND,FREQRELATIVA2ND,PERMAISFREQ3RD,FREQRELATIVA3RD,TOTALDEALUNOSPORDISCIPLINA,TIPODEDISCIPLINA
1411253,TE(SIST INF GEOG APLIC SETOR PETR E GAS},7,0.666666666666667,8,0.333333333333333,1,0,3,OPT
1411260,TECC (INTRODUÇÃO À COMPUTAÇÃO QUÂNTICA),7,1,1,0,2,0,1,OPT
1105365,GEOLOGIA DO PETRÓLEO,8,1,1,0,2,0,1,OPT
1107252,TE (INT. À COM. E EL. F. P. DE PETRÓLEO),8,1,1,0,2,0,1,OPT
1411207,INFORMÁTICA NA EDUCAÇÃO,8,0.625,9,0.375,1,0,8,OPT
1411248,TECC (SISTEMAS DE APOIO A DECISÃO II),8,1,1,0,2,0,3,OPT
1411269,TECC(MINERAÇÃO DE DADOS),9,0.5,8,0.166666666666667,11,0.166666666666667,12,OPT
1307045,LINGUA PORTUGUESA,9,1,1,0,2,0,1,OPT
1305147,INTRODUÇÃO À FILOSOFIA,10,1,1,0,2,0,1,OPT
1411220,SISTEMAS BASEADOS EM CONHECIMENTO,10,1,1,0,2,0,2,OPT
