"CODIGO","DISCIPLINA","DEPARTAMENTO","TIPODEDISCIPLINA","SITUACAO","RESULTADORELATIVO"
1411261,"TECC (REDAÇÃO TÉCNICO-CIENTÍFICA)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",6,0.24
1411168,"PROGRAMAÇÃO II","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",255,0.25940996948118
1411181,"LABORATÓRIO DE PROGRAMAÇÃO II","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",256,0.261491317671093
1114114,"METODOS ESTATISTICOS","UNID. ACAD. DE ESTATÍSTICA","OBG",161,0.263934426229508
1411172,"ESTRUTURA DE DADOS E ALGORITMOS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",231,0.268292682926829
1305020,"RELACOES HUMANAS","UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA","OPT",62,0.270742358078603
1411255,"TECC(LAB DE SISTEMAS OPERACIONAIS)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",2,0.285714285714286
1411171,"TEORIA DA COMPUTAÇÃO","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",234,0.286764705882353
1108089,"FUNDAMENTOS DE FÍSICA CLÁSSICA","UNID. ACAD. DE FÍSICA","OBG",341,0.348314606741573
1411167,"PROGRAMAÇÃO I","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",480,0.350620891161432
1411180,"LABORATÓRIO DE PROGRAMAÇÃO I","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",490,0.354302241503977
1411254,"TECC(PROCESSAMENTO DIGITAL DE IMAGEM)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",11,0.366666666666667
1109113,"MATEMÁTICA DISCRETA","UNID. ACAD. DE MATEMÁTICA","OBG",392,0.377649325626204
1109049,"ÁLGEBRA LINEAR","UNID. ACAD. DE MATEMÁTICA","OBG",376,0.433679354094579
1114107,"PROBABILIDADE E ESTATISTICA","UNID. ACAD. DE ESTATÍSTICA","OBG",424,0.459869848156182
1109035,"ÁLGEBRA VETORIAL E GEOMETRIA ANALÍTICA","UNID. ACAD. DE MATEMÁTICA","OBG",647,0.467148014440433
1109053,"CALCULO DIFERENCIAL E INTEGRAL II","UNID. ACAD. DE MATEMÁTICA","OBG",639,0.535624476110645
1109103,"CALCULO DIFERENCIAL E INTEGRAL I","UNID. ACAD. DE MATEMÁTICA","OBG",970,0.598765432098765
1305147,"INTRODUÇÃO À FILOSOFIA","UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA","OPT",1,1
1404132,"INTRODUCAO A ENGENHARIA ELETRICA","UNID. ACAD. DE ENGENHARIA ELÉTRICA","OPT",1,1
1502046,"INT A ENGENHARIA AGRICOLA","UNID. ACAD. DE ENGENHARIA AGRÍCOLA","OPT",1,1
1502178,"QUÍMICA ANALÍTICA","UNID. ACAD. DE ENGENHARIA AGRÍCOLA","OPT",1,1
1502183,"METODOLOGIA E TÉCNICAS DE PESQUISA","UNID. ACAD. DE ENGENHARIA AGRÍCOLA","OPT",1,1
1503121,"INTRODUCAO A ARQUITETURA","UNID. ACAD. DE ENGENHARIA CIVIL","OPT",1,1
